TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
170;170;-2787,930668;19,1786;74,8597;2,4254;257,05;448;734,06;219,8159;0,2769;0,171;0,1519
170;170;-2787,872896;20,235;75,0631;2,4302;257,12;447,59;733,97;219,645;0,2812;0,1728;0,1362
170;170;-2787,815124;21,1281;75,5981;2,4365;256,9;447,25;733,43;219,4772;0,2877;0,1743;0,1118
170;170;-2787,757351;21,8958;76,969;2,4449;256,41;447;732,75;219,6357;0,2978;0,1748;0,0795
170;170;-2787,699579;21,6546;78,9342;2,4533;255,67;446,7;732,03;221,003;0,3066;0,1735;0,0486
170;170;-2787,641806;21,3344;80,6181;2,4601;254,79;446,29;731,56;222,2816;0,3141;0,1715;0,0306
170;170;-2787,584034;21,4099;81,243;2,463;253,9;445,65;731,22;222,6152;0,3184;0,1689;0,0227
170;170;-2787,526261;19,5182;80,2746;2,4611;253,13;444,65;731;221,7902;0,316;0,1669;0,025
170;170;-2787,468489;17,3814;78,3697;2,4571;252,59;443,39;730,81;220,4505;0,3091;0,1656;0,0344
170;170;-2787,410717;15,8237;75,0469;2,4509;252,24;441,68;730,7;218,6222;0,2944;0,1658;0,0642
170;170;-2787,352944;15,7056;72,9778;2,4464;252,02;439,62;730,78;217,8287;0,2833;0,1671;0,1073
170;170;-2787,295172;16,1374;71,7237;2,4425;251,87;437,44;731,04;217,5031;0,2745;0,1687;0,1647
170;170;-2787,237399;16,5646;71,7833;2,4377;251,75;435,3;731,35;217,3878;0,2699;0,1701;0,2115
170;170;-2787,179627;16,1817;72,4876;2,432;251,66;433,61;731,53;217,3554;0,2661;0,1707;0,2477
170;170;-2787,121855;15,4505;73,4888;2,4258;251,59;432,27;731,39;217,447;0,2627;0,1706;0,2724
170;170;-2787,064082;14,9777;74,279;2,4189;251,51;431,53;730,97;218,0462;0,2602;0,1691;0,2715
170;170;-2787,00631;15,0416;74,5955;2,4185;251,41;430,92;730,01;219,5508;0,2586;0,1667;0,2501
170;170;-2786,948537;15,7008;74,5817;2,4231;251,23;430,38;728,77;221,5551;0,2578;0,1637;0,2167
170;170;-2786,890765;19,272;74,2113;2,4371;250,94;429,83;727,32;222,8696;0,2605;0,1606;0,1656
170;170;-2786,832993;20,5131;73,7929;2,4515;250,57;429,25;725,65;223,8288;0,2633;0,1579;0,1276
170;170;-2786,77522;19,6594;73,3806;2,466;250,09;428,63;723,91;224,4602;0,266;0,1556;0,0998
170;170;-2786,717448;20,927;73,8893;2,4759;249,53;427,78;722,1;223,9421;0,2637;0,1546;0,0944
170;170;-2786,659675;21,6035;73,3142;2,4815;248,9;426,65;720,14;223,1784;0,2612;0,1552;0,1065
170;170;-2786,601903;21,6749;71,7393;2,4829;248,09;425,22;718,04;222,191;0,2586;0,1571;0,1413
170;170;-2786,544131;20,7059;70,6804;2,4822;247;423,05;715,77;221,1615;0,2554;0,1619;0,2097
170;170;-2786,486358;21,1818;69,73;2,4831;245,55;420,37;713,05;220,4206;0,252;0,1657;0,2986
170;170;-2786,428586;23,3854;68,8995;2,4857;243,35;417,11;710,11;220,0024;0,2484;0,1686;0,4054
170;170;-2786,370813;25,4362;68,6002;2,4976;240,22;412,59;706,88;218,1619;0,2401;0,1671;0,4782
170;170;-2786,313041;27,3014;67,819;2,5122;236,03;407,43;703,35;217,9128;0,2297;0,1622;0,5206
170;170;-2786,255269;28,8224;66,3345;2,5297;230,52;401,47;699,7;219,9433;0,2171;0,1531;0,5133
170;170;-2786,197496;39,3708;64,7286;2,5483;224,08;394,63;695,92;221,5753;0,1976;0,1386;0,4278
170;170;-2786,139724;55,977;63,3429;2,5665;217,19;387,67;692,22;222,3464;0,178;0,1227;0,3148
170;170;-2786,081951;81,2915;62,3356;2,5838;210,67;380,7;688,74;221,7699;0,1595;0,1056;0,195
170;170;-2786,024662;87,2369;62,5582;2,6013;205,03;374,81;685,72;221,43;0,1469;0,0903;0,0712
170;170;-2785,967425;85,9889;62,6625;2,6186;200,74;369,75;683,5;220,7872;0,1371;0,0776;0,0262
170;170;-2785,910189;79,3245;62,078;2,6353;198,01;366;681,77;219,437;0,131;0,0694;0,0117
170;170;-2785,852953;76,5338;61,7944;2,6428;196,46;363,57;680,78;220,1883;0,1284;0,0654;0,01
170;170;-2785,795717;67,046;61,3818;2,6464;195,79;361,86;680,34;221,5402;0,1271;0,0628;0,01
170;170;-2785,738481;44,6419;60,455;2,6461;195,66;361,08;680,21;223,112;0,1265;0,0615;0,01
170;170;-2785,681244;40,2529;60,8899;2,6429;196,16;361,07;680,42;224,3994;0,1267;0,06;0,01
170;170;-2785,624008;40,892;61,8262;2,6387;197,09;361,52;680,86;225,2497;0,1272;0,0588;0,01
170;170;-2785,566772;44,3524;62,9436;2,6351;198,44;362,57;681,45;224,9635;0,1277;0,0589;0,01
170;170;-2785,509536;42,3083;64,9741;2,6318;200,19;363,99;682,28;224,4835;0,1286;0,0598;0,01
170;170;-2785,4523;38,911;67,0002;2,6282;202,42;365,66;683,26;223,8373;0,1302;0,0613;0,0101
170;170;-2785,395063;38,5051;67,3555;2,6222;205,1;367,73;684,39;222,798;0,1332;0,0642;0,0103
170;170;-2785,337827;43,9457;68,2067;2,6109;208,11;370,26;685,82;223,5472;0,1385;0,0695;0,0131
170;170;-2785,280591;51,7814;69,1838;2,5961;211,38;373,18;687,73;225,0611;0,1458;0,0767;0,0194
170;170;-2785,223355;46,9259;69,3519;2,5746;214,7;376,88;690,06;225,621;0,1581;0,0882;0,04
170;170;-2785,166119;39,9061;69,6792;2,5506;217,92;381,01;693,39;225,8168;0,1702;0,1;0,0722
